"usm","lsystem","mix","damier","scenario","Mng","seed","sd","name","keysc","surfsolref","nbplt","nbplt1","nbplt2","Ytot","densite","densite1","YEsp1","densite2","YEsp2","Semprop1","Yprop1","Yprop2","QNfix","QNupttot","QNuptleg","QNtot","Pari1","Pari2","Surf1","Surf2","PhiSurf1","PhiSurf2","PhiMass1","PhiMass2","LRac1","LRac2","MRac1","MRac2","UptNLen1","UptNLen2","UptNMass1","UptNMass2"
"50000","l-egume","Fix2-nonFixSimTest","damier0","55-1","Lusignan30IrrN2",1,"-","toto_50000_l-egume_Fix2-nonFixSimTest_damier0_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.16,64,0,64,1442.76597551369,400,0,0,400,1442.76597551369,0,0,1,0,28.0635299517603,0,28.0635299517603,0,19.5788039334392,0,11.1337522730004,0,1.75850903211675,0,0.0135703255176004,0,6162.37230002116,0,390.56424452888,2806352995176.03,0,2806352995176.03,0
"50001","l-egume","Fix2-nonFixSimTest","damier1","55-1","Lusignan30IrrN2",1,"-","toto_50001_l-egume_Fix2-nonFixSimTest_damier1_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.16,64,8,56,1800.49597738833,400,50,1036.47852512629,350,764.017452262042,0.125,0.575662783001453,0.424337216998547,15.1338524515293,28.0943670764589,10.3240073601445,43.2282195279881,11.9226526091573,8.11689741928392,6.29210874023986,6.0750337366637,1.89485800410433,1.33610738164036,0.0115030387221042,0.0106239685955497,3872.94302403296,3105.82688778322,212.680514531871,234.47594602057,0.00458833491896035,0.00332407688295635,0.0835542445222482,0.0440301341581466
"50002","l-egume","Fix2-nonFixSimTest","damier2","55-1","Lusignan30IrrN2",1,"-","toto_50002_l-egume_Fix2-nonFixSimTest_damier2_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.16,64,16,48,2015.30023709547,400,100,1547.4319949593,300,467.868242136174,0.25,0.767841915797875,0.232158084202125,20.2677984792033,29.5229489404363,16.9764916704292,49.7907474196395,16.5351355372661,4.12303396044726,10.3500996047482,3.57536215594417,1.59758226188127,1.15317939291298,0.0106855329288321,0.00881238260930554,6530.10544732541,1837.81466358877,327.42045524597,159.763004754214,0.00192132537080941,0.00923732518124458,0.0383191003157739,0.106260468101144
"50003","l-egume","Fix2-nonFixSimTest","damier4","55-1","Lusignan30IrrN2",1,"-","toto_50003_l-egume_Fix2-nonFixSimTest_damier4_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.16,64,32,32,2155.89713976229,400,200,1926.61999266933,200,229.277147092956,0.5,0.893651165974349,0.106348834025651,23.4008917743536,31.2640051428523,24.3494744747869,54.6648969172059,19.5210262878213,1.52451167041507,13.64477696047,1.78179246165189,1.43065924377958,0.855605634897089,0.0101322660213729,0.00664920900205078,8385.58033700019,892.256202054303,435.856905400663,85.3182571949953,0.000824573898309212,0.0272897788983985,0.0158642219095025,0.28539582587972
"50004","l-egume","Fix2-nonFixSimTest","damier6","55-1","Lusignan30IrrN2",1,"-","toto_50004_l-egume_Fix2-nonFixSimTest_damier6_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.16,64,48,16,2226.56408450998,400,300,2127.11838728866,100,99.4456972213193,0.75,0.955336701102315,0.0446632988976848,23.6810758062471,33.5430577711476,30.3912880839082,57.2241335773948,20.7608125268162,0.352641539725463,14.6864311049209,0.662208343645307,1.4136050057693,0.532523552601174,0.00976006443782328,0.0035460713693888,8646.94643871278,372.070995517799,495.665383276272,38.1084276601174,0.000364495109294163,0.0816814222286067,0.00635866411813271,0.797495198567494
"50005","l-egume","Fix2-nonFixSimTest","damier7","55-1","Lusignan30IrrN2",1,"-","toto_50005_l-egume_Fix2-nonFixSimTest_damier7_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.16,64,56,8,2238.88133397392,400,350,2177.33881465729,50,61.5425193166248,0.875,0.972511933355847,0.0274880666441528,22.3894739278665,35.3014820974701,33.3158808153832,57.6909560253366,20.3615368181483,0.301182831772981,14.798810085625,0.510548659224561,1.3758901357828,0.589919934809992,0.00935157022006843,0.00489389831806206,9241.57199433977,235.703032457747,515.057595286417,22.5974143458561,0.000214855360462813,0.141346848481273,0.00385510533240988,1.47432269486522
"50006","l-egume","Fix2-nonFixSimTest","damier8","55-1","Lusignan30IrrN2",1,"-","toto_50006_l-egume_Fix2-nonFixSimTest_damier8_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.16,64,64,0,2284.37930507029,400,400,2284.37930507029,0,0,1,1,0,23.1829271887045,35.6732480318119,35.6732480318119,58.8561752205164,21.3917090726498,0,16.1970182765143,0,1.32071895625719,0,0.00936434200098459,0,9658.20135270542,0,546.540355857908,0,0,3567324803181.19,0,3567324803181.19
"50007","l-egume","Fix2-nonFixSimTest","damier0","55-1","Lusignan30IrrN2",1,"-","toto_50007_l-egume_Fix2-nonFixSimTest_damier0_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.25593481,64,0,64,1520.58087023407,250.063678324961,0,0,250.063678324961,1520.58087023407,0,0,1,0,29.6176409770503,0,29.6176409770503,0,19.3703685224401,0,10.7546022674021,0,1.80112365299971,0,0.0127387953522381,0,6740.78016119092,0,372.930951583247,2961764097705.03,0,2961764097705.03,0
"50008","l-egume","Fix2-nonFixSimTest","damier2","55-1","Lusignan30IrrN2",1,"-","toto_50008_l-egume_Fix2-nonFixSimTest_damier2_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.25593481,64,16,48,1950.03035856898,250.063678324961,62.5159195812402,1341.86469308548,187.547758743721,608.165665483503,0.25,0.688125026971476,0.311874973028524,18.0469247245265,28.795854866822,13.9582373349119,46.8427795913484,14.2062495692497,5.71686730054707,8.29940829382106,4.3348703487992,1.71171836187517,1.31880929313549,0.0105869463906855,0.00940018094576576,5564.65756113461,2429.40979721061,273.789576461721,169.808386363447,0.00266640262566035,0.00574552607424994,0.0541935077429217,0.0821999291898087
"50009","l-egume","Fix2-nonFixSimTest","damier4","55-1","Lusignan30IrrN2",1,"-","toto_50009_l-egume_Fix2-nonFixSimTest_damier4_scenario55-1_Lusignan30IrrN2_1_Lusignan30_-_.csv","55-1 Fix2-nonFixSimTest Lusignan30IrrN2 -",0.25593481,64,32,32,2051.23002296623,250.063678324961,125.03183916248,1749.7041453196,125.03183916248,301.525877646633,0.5,0.853002406229115,0.146997593770885,20.7363499954071,30.2545915424997,22.324331269241,50.9909415379069,17.8838151695274,2.25586738072867,11.1602621448673,1.98723793866298,1.60245475754673,1.13517729146972,0.010221050923018,0.00748150506462437,7650.25489914438,1113.73723533953,378.887713280615,90.5225688478357,0.00103660079014434,0.0200445226763342,0.02093037064885,0.246616192551548
