"usm";"lsystem";"mix";"damier";"scenario";"Mng";"seed";"sd";"name";"keysc";"surfsolref";"nbplt";"nbplt1";"nbplt2";"Ytot";"densite";"densite1";"YEsp1";"densite2";"YEsp2";"Semprop1";"Yprop1";"Yprop2";"QNfix";"QNupttot";"QNuptleg";"QNtot";"Pari1";"Pari2";"Surf1";"Surf2";"PhiSurf1";"PhiSurf2";"PhiMass1";"PhiMass2";"LRac1";"LRac2";"MRac1";"MRac2";"UptNLen1";"UptNLen2";"UptNMass1";"UptNMass2"
"6129";"l-egume";"Orca-Orca";"homogeneous0";"12-12";"DigitLuz10LD";0;"-";"toto_6129_l-egume_Orca-Orca_homogeneous0_scenario12-12_DigitLuz10LD_0_DigitLuz10_-_.csv";"12-12 Orca-Orca DigitLuz10LD -";0.04;1;0;1;37.8342775521221;25;0;0;25;37.8342775521221;0;0;1;0.00454479839680603;27.7331929093957;0;27.7377377077925;0;4.3882460664302;0;0.644440698631287;0;6.80938692370329;0;0.115985988113123;0;420.300593480198;0;62.3120940793354;2773319290939.57;0;2773319290939.57;0
"6130";"l-egume";"Orca-Orca";"homogeneous0";"12-12";"DigitLuz10LD";1;"-";"toto_6130_l-egume_Orca-Orca_homogeneous0_scenario12-12_DigitLuz10LD_1_DigitLuz10_-_.csv";"12-12 Orca-Orca DigitLuz10LD -";0.04;1;0;1;36.341205476338;25;0;0;25;36.341205476338;0;0;1;0.00481597861734482;29.8620444168666;0;29.866860395484;0;4.67585334139028;0;0.732117354719774;0;6.38675386013236;0;0.12866533402238;0;415.96896742418;0;67.00892434743;2986204441686.66;0;2986204441686.66;0
"6131";"l-egume";"Orca-Orca";"homogeneous0";"12-12";"DigitLuz10LD";2;"-";"toto_6131_l-egume_Orca-Orca_homogeneous0_scenario12-12_DigitLuz10LD_2_DigitLuz10_-_.csv";"12-12 Orca-Orca DigitLuz10LD -";0.04;1;0;1;42.036896403714;25;0;0;25;42.036896403714;0;0;1;0.0226455136708128;30.5484695179988;0;30.5711150316696;0;4.85303169549934;0;0.781657878214406;0;6.20863913829329;0;0.115446955191236;0;426.860388136285;0;71.8550127959382;3054846951799.88;0;3054846951799.88;0
"1";"l-egume";"Orca-Orca";"homogeneous0";"12-12";"Lusignan30IrrN";0;"-";"toto_1_l-egume_Orca-Orca_homogeneous0_scenario12-12_Lusignan30IrrN_0_Lusignan30_-_.csv";"12-12 Orca-Orca Lusignan30IrrN -";1;4;0;4;213.812199043291;4;0;0;4;213.812199043291;0;0;1;2.83080252073152e-09;12.2040787290496;0;12.2040787318804;0;3.59971345332261;0;1.5254025306632;0;2.35984494645749;0;0.0168358656308174;0;177.264934178074;0;37.224832935405;1220407872904.96;0;1220407872904.96;0
"2";"l-egume";"Orca-Orca";"homogeneous0";"12-12";"Lusignan30IrrN";0;"-";"toto_2_l-egume_Orca-Orca_homogeneous0_scenario12-12_Lusignan30IrrN_0_Lusignan30_-_.csv";"12-12 Orca-Orca Lusignan30IrrN -";0.25;4;0;4;620.968260041307;16;0;0;16;620.968260041307;0;0;1;0.00124350859449889;27.9249431507391;0;27.9261866593336;0;9.25111565416647;0;4.5690799601977;0;2.02472176778144;0;0.0148978881038959;0;710.368292207323;0;110.182248915703;2792494315073.91;0;2792494315073.91;0
"3";"l-egume";"Orca-Orca";"homogeneous0";"12-12";"Lusignan30IrrN";0;"-";"toto_3_l-egume_Orca-Orca_homogeneous0_scenario12-12_Lusignan30IrrN_0_Lusignan30_-_.csv";"12-12 Orca-Orca Lusignan30IrrN -";0.25;16;0;16;1343.091987983;64;0;0;64;1343.091987983;0;0;1;2.62955080849503;46.1789957583129;0;48.808546566808;0;18.3926583038993;0;9.69212653694202;0;1.89769069086911;0;0.0136942655219919;0;2798.94093870358;0;242.929167939864;4617899575831.29;0;4617899575831.29;0
"4";"l-egume";"Orca-Orca";"homogeneous0";"12-12";"Lusignan30IrrN";0;"-";"toto_4_l-egume_Orca-Orca_homogeneous0_scenario12-12_Lusignan30IrrN_0_Lusignan30_-_.csv";"12-12 Orca-Orca Lusignan30IrrN -";0.25;36;0;36;1742.33485244488;144;0;0;144;1742.33485244488;0;0;1;10.9208403251843;48.2553467427784;0;59.1761870679627;0;21.1153258279416;0;12.2026124685175;0;1.73039387118139;0;0.0121189826389066;0;6301.1049898347;0;325.384302473733;4825534674277.84;0;4825534674277.84;0
"5";"l-egume";"Orca-Orca";"homogeneous0";"12-12";"Lusignan30IrrN";0;"-";"toto_5_l-egume_Orca-Orca_homogeneous0_scenario12-12_Lusignan30IrrN_0_Lusignan30_-_.csv";"12-12 Orca-Orca Lusignan30IrrN -";0.25;64;0;64;1832.20203959847;256;0;0;256;1832.20203959847;0;0;1;13.1740200148641;48.6711523739809;0;61.845172388845;0;21.4342359804154;0;12.6345263926419;0;1.69648115918942;0;0.0116986203034206;0;10824.8702179209;0;355.797551068115;4867115237398.09;0;4867115237398.09;0
"6";"l-egume";"Orca-Orca";"homogeneous0";"12-12";"Lusignan30IrrN";0;"-";"toto_6_l-egume_Orca-Orca_homogeneous0_scenario12-12_Lusignan30IrrN_0_Lusignan30_-_.csv";"12-12 Orca-Orca Lusignan30IrrN -";0.0625;25;0;25;1906.19623586334;400;0;0;400;1906.19623586334;0;0;1;15.255373220367;48.952554889958;0;64.207928110325;0;21.728853532755;0;13.4038210503787;0;1.6210939739549;0;0.0113990643376303;0;14948.6273209143;0;385.568135520144;4895255488995.8;0;4895255488995.8;0
"100820";"l-egume";"Fet-Fet";"row0";"22-22";"LusignanTN";0;"-";"toto_100820_l-egume_Fet-Fet_row0_scenario22-22_LusignanTN_0_LusignanTN_-_.csv";"22-22 Fet-Fet LusignanTN -";0.25;100;0;100;113.841764973169;400;0;0;400;113.841764973169;0;0;1;0;20.1344179927639;0;20.1344179927639;0;5.00492360975462;0;1.04815220656805;0;4.77499696928029;0;0.0439638616893702;0;6561.49875485855;0;123.301715252802;2013441799276.39;0;2013441799276.39;0
"100830";"l-egume";"Fet-Fet";"row0";"22-22";"LusignanTN";1;"-";"toto_100830_l-egume_Fet-Fet_row0_scenario22-22_LusignanTN_1_LusignanTN_-_.csv";"22-22 Fet-Fet LusignanTN -";0.25;100;0;100;114.049068201571;400;0;0;400;114.049068201571;0;0;1;0;20.1976513106224;0;20.1976513106224;0;5.01778805377136;0;1.04683203214359;0;4.79330771284152;0;0.0439967474780458;0;6557.81418721544;0;123.941577395469;2019765131062.24;0;2019765131062.24;0
"6132";"l-egume";"Orca-Fet";"damier84";"25-12";"DigitLuz10HD";0;"-";"toto_6132_l-egume_Orca-Fet_damier84_scenario25-12_DigitLuz10HD_0_DigitLuz10_-_.csv";"25-12 Orca-Fet DigitLuz10HD -";0.139129;64;32;32;156.600973660127;460.00474379892;230.00237189946;132.108139246267;230.00237189946;24.4928344138602;0.5;0.843597176687948;0.156402823312052;0.0678163728009296;61.3470904104829;52.232078312736;61.4149067832838;14.7502546674016;3.11144427885107;3.57511406330123;0.841666795332098;4.12581372403543;3.69676491465534;0.111652883399591;0.127034879927538;3847.91927030487;1204.16731258706;219.58903159971;56.5281425963895;0.00236881583459643;0.0433760971309866;0.0415094143425266;0.924001318876924
"6133";"l-egume";"Orca-Fet";"damier84";"25-12";"DigitLuz10HD";1;"-";"toto_6133_l-egume_Orca-Fet_damier84_scenario25-12_DigitLuz10HD_1_DigitLuz10_-_.csv";"25-12 Orca-Fet DigitLuz10HD -";0.139129;64;32;32;156.979572695755;460.00474379892;230.00237189946;129.201782157417;230.00237189946;27.7777905383381;0.5;0.823048374630406;0.176951625369594;0.0631168964625598;61.3349197707508;52.0696552671229;61.3980366672133;14.8170988387607;3.39732586372847;3.55797947935687;0.918757871768809;4.16447001020854;3.69773796566325;0.114681845647506;0.122303674910298;3856.46456301647;1304.09833726254;217.458013196384;60.8073856556691;0.002402528106308;0.0399277062007632;0.0426071422590443;0.856304784454416
